Item;Material;Description;Quantity;Price/Unit;Value;"Discount Price";Country
000020;E2010040400A1;"ignition coil ZS588";"4 PC";"11,23 EUR/    1PC";44,92;;
000300;E2520028814A1;"glow plug PSG007";"30 PC";"64,38 EUR/    1PC";1.931,40;;
000310;E2860035804A0;"Temperature control valve";"3 PC";"18,81 EUR/    1PC";56,43;;
000320;E2010037272A1;"ignition coil ZSE198";"4 PC";"52,50 EUR/    1PC";210,00;;
000330;E2519966068A1;"glow plug GE121A";"10 PC";"7,95 EUR/    1PC";79,50;;
000340;E2519966034A1;"glow plug GE114";"10 PC";"5,95 EUR/    1PC";59,50;;
000350;E2010026657B1;"ignition coil ZSE181";"4 PC";"15,88 EUR/    1PC";63,52;;
000360;E2019100079B1;"ignition coil ZS079";"2 PC";"23,65 EUR/    1PC";47,30;;
000370;E2858853756E9;"Temperature control valve";"5 PC";"5,09 EUR/    1PC";25,45;;
000380;E2019102030A1;"ignition coil ZSE030";"15 PC";"11,74 EUR/    1PC";176,10;;
000390;E2510036086A1;"Glow plug GE135";"10 PC";"6,01 EUR/    1PC";60,10;;
000400;E2110022368A2;"glow plug control unit GSE108";"2 PC";"45,00 EUR/    1PC";90,00;;
000410;E2010041172A1;"ignition coil ZS571";"2 PC";"24,79 EUR/    1PC";49,58;;
000420;E2520028814A1;"Glow plug PSG007";"1 PC";"65,30 EUR/    1PC";65,30;;
000430;E2010026657B1;"ignition coil ZSE181";"2 PC";"15,88 EUR/    1PC";31,76;;
000440;E2019100052A1;"ignition coil ZS052";"3 PC";"13,58 EUR/    1PC";40,74;;
000450;E2019102081A1;"ignition coil ZSE081";"3 PC";"15,00 EUR/    1PC";45,00;;
000460;E2019100079B1;"ignition coil ZS079";"4 PC";"23,65 EUR/    1PC";94,60;;
000470;E2019100475B1;"ignition coil ZS475";"3 PC";"10,01 EUR/    1PC";30,03;;
000480;E2519226379A1;"glow plug GN003";"10 PC";"4,16 EUR/    1PC";41,60;;
000490;E2019102033A1;"ignition coil ZSE033";"4 PC";"14,50 EUR/    1PC";58,00;;
000500;E2010041172A1;"ignition coil ZS571";"2 PC";"24,79 EUR/    1PC";49,58;;
000510;E2519266011A1;"glow plug GE105";"10 PC";"5,24 EUR/    1PC";52,40;;
